Period,Japan,Mexico,China,U.K.,Germany,U.S.
1,363410,356370,278525,187415,276775,475815
2,373925,345470,283515,194275,273780,460070
3,386170,331365,303040,196075,270555,485670
4,414840,330370,275660,185425,273065,516565
5,384874,310299,288822,210195,275404,517949
6,322343,227784,246355,141210,239578,436437
7,242436,271789,347709,157784,325138,488823
8,368538,379433,328360,162143,274040,520370
9,371071,355777,338273,171440,292044,542219
10,376985,334652,385872,158300,287311,507634
11,334225,349401,392779,191983,291904,523115
12,338077,339244,386236,150912,298898,476560
