,Company 1,Company 2,Company 3,Company 4,Company 5
Demand,51295,117587,61060,53019,95340
Sales,51295,117587,61060,53019,95340
Market Share,0.13,0.35,0.16,0.14,0.25
Marketing Expense,665002,809001,700002,534997,2999997
Marketing Expense Share,0.09,0.29,0.10,0.07,0.41
Company Sales (currency),14542133,40449928,17707400,15110415,29555400
Delivered Mfg Cost,10871621,31528411,13540972,10369159,23013553
Gross Margin,3670512,8921517,4166428,4741256,6541847
Company Marketing Exp,665002,809001,700002,534997,2999997
Import Tariffs,1163371,2426996,1416592,1208833,2364432
Contribution Margin,1842139,5685520,2049834,2997426,1177418
Price,284,275,290,285,310
Price Percentage,0.98,0.95,1.00,0.99,1.07
Quality,0.91,0.93,1.10,0.82,1.24
