,Company 1,Company 2,Company 3,Company 4,Company 5
Demand,42193,53107,87175,41155,75268
Sales,42193,53107,87175,41155,75268
Market Share,0.14,0.18,0.29,0.14,0.25
Marketing Expense,255000,410000,400000,265000,750000
Marketing Expense Share,0.12,0.20,0.19,0.13,0.36
Company Sales (currency),1856492,2363262,3530588,1810820,3913936
Delivered Mfg Cost,866334,978020,1874499,778488,1764312
Gross Margin,990158,1385242,1656088,1032332,2149624
Company Marketing Exp,255000,410000,400000,265000,750000
Import Tariffs,0,236326,0,0,0
Contribution Margin,735158,738915,1256088,767332,1399624
Price,44,44.5,40.5,44,52
Price Percentage,0.98,0.99,0.90,0.98,1.16
Quality,0.91,0.93,1.10,0.82,1.24
