,Company 1,Company 2,Company 3,Company 4,Company 5
Demand,60937,62040,69264,70966,74870
Sales,60937,62040,69264,70966,74870
Market Share,0.18,0.18,0.20,0.21,0.22
Marketing Expense,8700010,10844020,8030000,16100040,14000030
Marketing Expense Share,0.15,0.19,0.14,0.28,0.24
Company Sales (currency),277263350,301142160,329004000,369023200,396811000
Delivered Mfg Cost,177067046,153685711,210501865,190433621,247486874
Gross Margin,100196304,147456449,118502135,178589579,149324126
Company Marketing Exp,8700010,10844020,8030000,16100040,14000030
Import Tariffs,33271602,36137059,39480480,44282784,47617320
Contribution Margin,58224692,100475370,70991655,118206755,87706776
Price,4550,4854,4750,5200,5300
Price Percentage,0.92,0.98,0.96,1.05,1.07
Quality,0.91,93.30,1.10,0.82,1.24
