,Company 1,Company 2,Company 3,Company 4,Company 5
Demand,61902,117587,63754,55329,40672
Sales,61902,117587,63754,55329,40672
Market Share,0.18,0.35,0.19,0.16,0.12
Marketing Expense,564995,809001,595000,435001,400003
Marketing Expense Share,0.20,0.29,0.21,0.16,0.14
Company Sales (currency),21665700,40449928,23907750,20305743,16268800
Delivered Mfg Cost,18464764,31528411,19898499,15229466,13817322
Gross Margin,3200936,8921517,4009251,5076277,2451478
Company Marketing Exp,564995,809001,595000,435001,400003
Import Tariffs,1299942,2426996,1434465,1218345,976128
Contribution Margin,1335998,5685520,1979786,3422931,1075347
Price,350,344,375,367,400
Price Percentage,0.95,0.94,1.02,1.00,1.09
Quality,0.91,0.93,1.10,0.82,1.24
