,Company 1,Company 2,Company 3,Company 4,Company 5
Demand,67600,151486,121811,93150,117271
Sales,102017,76728,162152,93150,117271
Market Share,0.12,0.27,0.22,0.17,0.21
Marketing Expense,405000,1062000,460000,620000,800000
Marketing Expense Share,0.12,0.32,0.14,0.19,0.24
Company Sales (currency),4345924,2992392,6648232,4005450,5511737
Delivered Mfg Cost,1751909,1766281,3304537,2225818,3465416
Gross Margin,2594015,1226111,3343695,1779632,2046321
Company Marketing Exp,405000,1062000,460000,620000,800000
Import Tariffs,217296,149620,332412,200273,275587
Contribution Margin,1971719,14491,2551283,959359,970734
Price,42.6,39,41,43,47
Price Percentage,1.00,0.92,0.96,1.01,1.11
Quality,0.91,0.93,1.10,0.82,1.24
